track_id,track_name,artist_id,artist_name,is_main
1,Comedy,1,Gen Hoshino,1
2,Ghost - Acoustic,2,Ben Woodward,1
3,To Begin Again,3,Ingrid Michaelson,1
3,To Begin Again,4,ZAYN,0
4,Can't Help Falling In Love,5,Kina Grannis,1
5,Hold On,6,Chord Overstreet,1
6,Days I Will Remember,7,Tyrone Wells,1
7,Say Something,8,A Great Big World,1
8,I'm Yours,9,Jason Mraz,1
9,Hunger,10,Ross Copperman,1
10,Give Me Your Forever,11,Zack Tabudlo,1
11,Mr. P-Mosh,12,Plastilina Mosh,1
12,Count It,13,Jor'dan Armstrong,1
13,El Sirenito,12,Plastilina Mosh,1
14,La aparecida,14,Jorge Drexler,1
15,Chan Chan,15,Buena Vista Social Club,1
16,Zombie,16,Fela Kuti,1
17,On The Low,17,Burna Boy,1
18,Essence,18,Wizkid,1
19,Fall,19,Davido,1
20,Calm Down,20,Rema,1
21,Villa,21,El Michels Affair,1
22,Savages (Part 2),22,Haruki Sayama,1
22,Savages (Part 2),23,Ryoichi Fukuzawa,0
22,Savages (Part 2),24,Yuko Doi,0
22,Savages (Part 2),25,Music Creation,0
23,Rudolph The Red-Nosed Reindeer,26,Donald Duck,1
23,Rudolph The Red-Nosed Reindeer,27,Goofy,0
24,Hip Hip Pooh Rah,28,Billboard Baby Lullabies,1
25,Rocking Chair Lullaby,29,Cameron's Bedtime Classics,1
26,Die letzte Vision,30,Germaine Franco,1
27,We Don't Talk About Bruno,31,Lin-Manuel Miranda,1
28,Into the Unknown,32,Idina Menzel,1
29,Do You Want to Build a Snowman?,33,Kristen Bell,1
30,I Can't Let You Throw Yourself Away,34,Randy Newman,1
31,En helt ny verden,35,Jannicke Kruse,1
31,En helt ny verden,36,Trond Teigen,0
32,Im Mondenschein,37,Debby van Dooren,1
32,Im Mondenschein,38,Tommy Amper,0
32,Im Mondenschein,39,Friedel Morgenstern,0
33,The Carnival of the Animals: Kangaroos,40,David Ogden Stiers,1
33,The Carnival of the Animals: Kangaroos,41,Chie Nagatani,0
33,The Carnival of the Animals: Kangaroos,42,Nina Flyer,0
34,Bambi Gets Twitterpated,43,Frank Churchill,1
34,Bambi Gets Twitterpated,44,Ed Plumb,0
34,Bambi Gets Twitterpated,45,Larry Morey,0
35,You Oughta Be Ashamed,43,Frank Churchill,0
35,You Oughta Be Ashamed,46,Oliver Wallace,1
36,Tío Bruno,30,Germaine Franco,1
37,Circle of Life,31,Lin-Manuel Miranda,1
38,Hakuna Matata,31,Lin-Manuel Miranda,1
39,Let It Go,32,Idina Menzel,1
40,You've Got a Friend in Me,34,Randy Newman,1
41,Até Quando?,47,Oficina G3,1
42,Desta Vez Não,48,Gerson Rufino,1
